Компания,Город,Ниша,ЛПР,Email,Тема письма,Письмо,Дизайн/вариант,Телефон,VK-группа,Текст для VK,Telegram,Текст для TG,Правило касаний
Стоматология «Классик Дент»,Екатеринбург,медицина,,klassik-dent@mail.ru,Свои пациенты вместо агрегаторов — для «Классик Дент»,отправлено 2026-07-06,B,+7 961 772-75-57,,,поиск по номеру: +7 961 772-75-57,"Здравствуйте! Я Яна, агентство OMG — писала вам на почту про «Стоматология «Классик Дент»». Суть одной строкой: заявки на приём по фиксированной цене (SMS-подтверждение каждого номера). Одиночная клиника в Краснодаре выросла в 9 раз по заявкам за год. Прислать расчёт сюда?",email → D+2 VK/TG → D+3 фоллоу-ап письмом
Клиника эстетической медицины «Алтика»,Новосибирск,бьюти/лазер,Смагин Алексей Владимирович (директор),info@altika-clinic.ru,Рост с 33 до 191 заявки в месяц: медиаплан для «Алтики»,черновик в Gmail,A,,https://vk.com/altikansk,"Алексей Владимирович, здравствуйте! Я Яна, агентство OMG — писала вам на почту info@altika-clinic.ru про «Клиника эстетической медицины «Алтика»». Почта у многих — чёрная дыра, поэтому коротко здесь: мы ведём лазерную эпиляцию в 19 городах, есть канал с оплатой за заявку — 504 ₽ за подтверждённый контакт. Посчитать бесплатно цифры для вас?",,,email → D+2 VK/TG → D+3 фоллоу-ап письмом
Terra del Sol,Новосибирск,бьюти/лазер,Арзаманскина М. С. (гендиректор),terradel.sol@yandex.ru,Идея по записям для Terra del Sol,отправлено 2026-07-07,A,,https://vk.com/terradelsol,"М. С., здравствуйте! Я Яна, агентство OMG — писала вам на почту terradel.sol@yandex.ru про «Terra del Sol». Почта у многих — чёрная дыра, поэтому коротко здесь: мы ведём лазерную эпиляцию в 19 городах, есть канал с оплатой за заявку — 504 ₽ за подтверждённый контакт. Посчитать бесплатно цифры для вас?",,,email → D+2 VK/TG → D+3 фоллоу-ап письмом
Школа шитья «Хочу Шить»,Москва и Санкт-Петербург,образование,Мария Амочаева (основатель),info@wanttosew.ru,"Заявки ×2,5 к осеннему набору: медиаплан для «Хочу Шить»",черновик в Gmail,A,,https://vk.com/wanttosew,"Мария Амочаева, здравствуйте! Я Яна, агентство OMG — писала вам на почту info@wanttosew.ru про «Школа шитья «Хочу Шить»». Почта у многих — чёрная дыра, поэтому коротко здесь: считаем школам бесплатный медиаплан набора к сентябрю — сколько заявок и по какой цене реально получить по вашим районам. Посчитать бесплатно цифры для вас?",,,email → D+2 VK/TG → D+3 фоллоу-ап письмом
Стоматологическая клиника «Визави»,Екатеринбург,медицина,Евгений Леонидович (главный врач),vizavi-info@mail.ru,Свои пациенты для «Визави» — без агрегаторов,отправлено 2026-07-07,A,+7 (343) 355-61-77,,,поиск по номеру: +7 (343) 355-61-77,"Евгений Леонидович, здравствуйте! Я Яна, агентство OMG — писала вам на почту про «Стоматологическая клиника «Визави»». Суть одной строкой: заявки на приём по фиксированной цене (SMS-подтверждение каждого номера). Одиночная клиника в Краснодаре выросла в 9 раз по заявкам за год. Прислать расчёт сюда?",email → D+2 VK/TG → D+3 фоллоу-ап письмом
«Центр Стоматологии»,Казань,медицина,,centrstomat@mail.ru,Прямые записи для «Центра Стоматологии»,отправлено 2026-07-07,B,+7 843 207 27 52,,,поиск по номеру: +7 843 207 27 52,"Здравствуйте! Я Яна, агентство OMG — писала вам на почту про ««Центр Стоматологии»». Суть одной строкой: заявки на приём по фиксированной цене (SMS-подтверждение каждого номера). Одиночная клиника в Краснодаре выросла в 9 раз по заявкам за год. Прислать расчёт сюда?",email → D+2 VK/TG → D+3 фоллоу-ап письмом
Триарс — школа рисования,Казань,образование,,info@triars.ru,Ученики к осеннему набору: медиаплан для «Триарс»,черновик в Gmail,A,,https://vk.com/triars_school,"Здравствуйте! Я Яна, агентство OMG — писала вам на почту info@triars.ru про «Триарс — школа рисования». Почта у многих — чёрная дыра, поэтому коротко здесь: считаем школам бесплатный медиаплан набора к сентябрю — сколько заявок и по какой цене реально получить по вашим районам. Посчитать бесплатно цифры для вас?",,,email → D+2 VK/TG → D+3 фоллоу-ап письмом
Стоматология «21 Век»,Казань,медицина,"Сафин Ранас Анасович (гендиректор, совладелец с отцом — семейный бизнес)",stom.21@mail.ru,Свои пациенты для «21 Век»,отправлено 2026-07-07,B,+7 (843) 272-32-23,,,поиск по номеру: +7 (843) 272-32-23,"Ранас Анасович, здравствуйте! Я Яна, агентство OMG — писала вам на почту про «Стоматология «21 Век»». Суть одной строкой: заявки на приём по фиксированной цене (SMS-подтверждение каждого номера). Одиночная клиника в Краснодаре выросла в 9 раз по заявкам за год. Прислать расчёт сюда?",email → D+2 VK/TG → D+3 фоллоу-ап письмом
Стоматология «Эталон»,Челябинск,медицина,"Нестерко Олег Александрович (гендиректор ООО «Эталон СК», с 2015; владелец Нестерко С.О.)",etalonclinic@mail.ru,"14,6 ₽ выручки на 1 ₽ рекламы: медиаплан для «Эталона»",черновик в Gmail,A,+7 (351) 225-17-00,,,поиск по номеру: +7 (351) 225-17-00,"Олег Александрович, здравствуйте! Я Яна, агентство OMG — писала вам на почту про «Стоматология «Эталон»». Суть одной строкой: заявки на приём по фиксированной цене (SMS-подтверждение каждого номера). Одиночная клиника в Краснодаре выросла в 9 раз по заявкам за год. Прислать расчёт сюда?",email → D+2 VK/TG → D+3 фоллоу-ап письмом
«Имплант Люкс» — стоматология,Саратов,медицина,"Аракелян Эдуард Зоревич (директор ООО «Имплант Люкс», он же ведущий ортопед; смены руководителя в истории — уточнить)",implantsar@yandex.ru,Заявок ×9 для одиночной стоматологии — расчёт для «Имплант Люкс»,черновик в Gmail,FIX,+7 (8452) 29-66-99,,,поиск по номеру: +7 (8452) 29-66-99,"Эдуард Зоревич, здравствуйте! Я Яна, агентство OMG — писала вам на почту про ««Имплант Люкс» — стоматология». Суть одной строкой: заявки на приём по фиксированной цене (SMS-подтверждение каждого номера). Одиночная клиника в Краснодаре выросла в 9 раз по заявкам за год. Прислать расчёт сюда?",email → D+2 VK/TG → D+3 фоллоу-ап письмом
